iter	TotalF1	MultiClass
0	0.7639071462	1.220802588
1	0.7634110027	1.096964737
2	0.7632636495	1.000468184
3	0.7631161728	0.9243684609
4	0.7631161728	0.861680744
5	0.7632636495	0.8097298637
6	0.7632636495	0.7659391868
7	0.7631161728	0.7283902693
8	0.7631161728	0.6968515922
9	0.7631161728	0.6692275839
10	0.7631161728	0.6453239971
11	0.7631161728	0.6245464546
12	0.7631161728	0.606201927
13	0.7631161728	0.589850285
14	0.7631161728	0.5751556628
15	0.7631161728	0.5631474726
16	0.7631161728	0.5521381504
17	0.7633805741	0.5416888912
18	0.7635277415	0.5325168556
19	0.7635277415	0.5246352335
20	0.763674786	0.5172187501
21	0.763674786	0.5109564472
22	0.7636136738	0.5051025981
23	0.7636136738	0.4998372108
24	0.7640536991	0.495203206
25	0.764517397	0.4907549287
26	0.7656678491	0.4866150561
27	0.7658782033	0.4831917352
28	0.7668229765	0.4800226805
29	0.7665270948	0.4770533436
30	0.7688132544	0.474270687
31	0.7691467366	0.4718064219
32	0.7693114177	0.4696792434
33	0.7694301728	0.46730119
34	0.7700862324	0.4653480073
35	0.7699329427	0.4637578442
36	0.7709521947	0.4619897778
37	0.7711033005	0.4601201462
38	0.7710697769	0.4583958342
39	0.7712431736	0.4572432924
40	0.7713385811	0.4557298614
41	0.7712209408	0.4543236451
42	0.7712318357	0.4531535274
43	0.7721950162	0.4520290929
44	0.7723677981	0.4508544567
45	0.7733409665	0.44953345
46	0.7722191805	0.4485526866
47	0.7732543253	0.4473236996
48	0.7752789146	0.4458052094
49	0.7756427173	0.4450522927
50	0.7763992076	0.4443334739
51	0.7759915556	0.443165095
52	0.7773867714	0.4420496732
53	0.7773054505	0.4413593028
54	0.7773054505	0.4407244821
55	0.7772901953	0.4396207412
56	0.7778747588	0.438852936
57	0.7784137209	0.4382018559
58	0.7795926697	0.4371930585
59	0.7798501807	0.4364847288
60	0.780553904	0.4354120226
61	0.7815029967	0.4346951978
62	0.7818945208	0.433836743
63	0.7824045232	0.4330288934
64	0.7845229999	0.4325129298
65	0.7849107948	0.4318965987
66	0.7861882333	0.4312527238
67	0.7856496739	0.4304768238
68	0.7868968251	0.4298314357
69	0.7880891731	0.4290773915
70	0.7885611343	0.428633042
71	0.788122488	0.4281635484
72	0.7886493538	0.4274260856
73	0.7889413937	0.4269631954
74	0.7899552002	0.4259731375
75	0.7902939796	0.4251022903
76	0.7908990087	0.4244618828
77	0.7914607448	0.42379256
78	0.7917140851	0.422874296
79	0.7914398088	0.4220854502
80	0.793351767	0.4212823577
81	0.7933694201	0.420776037
82	0.7936826296	0.4200304601
83	0.7936850115	0.4195071402
84	0.7940047105	0.4188478699
85	0.7937567256	0.4183158361
86	0.7944100707	0.4179212011
87	0.795517777	0.4172598079
88	0.7965514201	0.4167953093
89	0.7966445468	0.4159557339
90	0.7962833903	0.415362817
91	0.7965323954	0.4148889173
92	0.7973426557	0.413936856
93	0.7976703743	0.4135201423
94	0.7982667054	0.4129157208
95	0.7992842337	0.4126043017
