iter	Passed	Remaining
0	31	31796
1	58	29246
2	82	27470
3	101	25298
4	125	24890
5	148	24553
6	176	24973
7	210	26102
8	233	25763
9	282	27924
10	317	28549
11	340	28036
12	361	27439
13	383	27017
14	411	27031
15	434	26692
16	454	26291
17	476	25970
18	496	25633
19	521	25530
20	544	25385
21	565	25138
22	586	24921
23	608	24763
24	631	24620
25	652	24430
26	672	24236
27	692	24055
28	713	23899
29	734	23762
30	755	23621
31	776	23481
32	803	23537
33	845	24032
34	891	24573
35	925	24778
36	948	24681
37	969	24543
38	994	24512
39	1019	24474
40	1040	24329
41	1060	24188
42	1082	24102
43	1109	24096
44	1132	24040
45	1160	24071
46	1191	24153
47	1224	24284
48	1244	24159
49	1265	24039
50	1285	23928
51	1312	23929
52	1344	24021
53	1385	24265
54	1432	24618
55	1477	24903
56	1522	25181
57	1578	25636
58	1619	25836
59	1667	26117
60	1705	26259
61	1732	26216
62	1765	26253
63	1800	26337
64	1841	26488
65	1880	26610
66	1928	26856
67	1971	27025
68	2009	27117
69	2047	27205
70	2072	27113
71	2087	26907
72	2103	26716
73	2124	26584
74	2151	26536
75	2188	26608
76	2231	26747
77	2266	26792
78	2299	26808
79	2339	26899
80	2374	26934
81	2406	26935
82	2445	27014
83	2482	27071
84	2503	26948
85	2519	26781
86	2537	26634
87	2553	26464
88	2570	26311
89	2586	26149
90	2601	25990
91	2617	25832
92	2633	25686
93	2652	25561
94	2667	25415
95	2683	25267
96	2698	25118
97	2714	24980
98	2731	24857
99	2746	24722
100	2761	24581
101	2778	24457
102	2799	24380
103	2818	24283
104	2836	24180
105	2857	24097
106	2879	24030
107	2900	23956
108	2921	23877
109	2942	23806
110	2964	23740
111	2989	23702
112	3017	23688
113	3048	23694
114	3067	23603
115	3086	23523
116	3104	23430
117	3120	23320
118	3135	23213
119	3152	23119
120	3168	23016
121	3186	22930
122	3200	22821
123	3216	22726
124	3234	22643
125	3252	22558
126	3268	22467
127	3287	22397
128	3313	22375
129	3343	22373
130	3374	22388
131	3410	22425
132	3442	22439
133	3476	22470
134	3512	22508
135	3543	22512
136	3576	22530
137	3597	22469
138	3613	22381
139	3630	22301
140	3644	22205
141	3662	22127
142	3677	22039
143	3693	21956
144	3708	21868
145	3725	21793
146	3741	21709
147	3757	21632
148	3773	21551
149	3790	21478
150	3805	21397
151	3823	21330
152	3839	21254
153	3855	21177
154	3871	21108
