iter	TotalF1	MultiClass
0	0.7631161728	1.21842631
1	0.7631161728	1.09723694
2	0.7631161728	1.001583638
3	0.7631161728	0.9252266215
4	0.7631161728	0.8644304245
5	0.7631161728	0.8128925305
6	0.7631161728	0.7685235162
7	0.7631161728	0.7310932428
8	0.7631161728	0.6983878022
9	0.7631161728	0.6705241514
10	0.7631161728	0.6466822282
11	0.7632636495	0.6254110487
12	0.7631161728	0.6066657796
13	0.7631161728	0.5907534721
14	0.7632636495	0.576422334
15	0.7632636495	0.5641627096
16	0.7632636495	0.5524696789
17	0.7634110027	0.5426234426
18	0.7634110027	0.5336875359
19	0.7635582326	0.5254177693
20	0.7635582326	0.5183782732
21	0.7635582326	0.5125138106
22	0.7634615054	0.5067104666
23	0.7638773922	0.5011655346
24	0.764317428	0.4963038882
25	0.7655343357	0.4916001992
26	0.7661150054	0.4877503171
27	0.7655343357	0.4839618481
28	0.7666146012	0.4806790585
29	0.7668706732	0.4778374697
30	0.7672694896	0.4751151227
31	0.768436139	0.472421366
32	0.7690376047	0.4699561906
33	0.7690376047	0.4675591633
34	0.7690376047	0.4657754858
35	0.7693213838	0.4636807379
36	0.7700514614	0.4620297617
37	0.7699329427	0.4601216881
38	0.7707781618	0.4588626113
39	0.7704744028	0.4572792013
40	0.7711878639	0.4561757444
41	0.7712942466	0.4546111315
42	0.7713278938	0.4532318272
43	0.7720638118	0.451909796
44	0.7724100445	0.4509173715
45	0.7734839739	0.4499008437
46	0.7736303357	0.4485989692
47	0.7744974106	0.4476554876
48	0.775202281	0.4461986655
49	0.7754544322	0.4452171481
50	0.7760902829	0.444186465
51	0.7764977359	0.4430890416
52	0.7769244001	0.4421016266
53	0.7780989204	0.4408103131
54	0.7778299692	0.4402296093
55	0.7778697539	0.4395629011
56	0.7778697539	0.4386827541
57	0.7797057772	0.4378501882
58	0.779821195	0.4371970101
59	0.7804660066	0.4366898341
60	0.7802420685	0.4357211171
61	0.7806009601	0.4346558434
62	0.7817089467	0.4336942766
63	0.7817089467	0.4326548833
64	0.783308415	0.4316257734
65	0.7845624359	0.4308158481
66	0.7852787417	0.4300373402
67	0.7854630058	0.429264904
68	0.7859749492	0.4286071426
69	0.7869629473	0.4279284027
70	0.7890280797	0.426864609
71	0.7890581711	0.4263395136
72	0.7884220642	0.4253403326
73	0.7896051014	0.4247555711
74	0.7903151153	0.4239307859
75	0.7912633474	0.4230953369
76	0.7917013737	0.4225928563
77	0.7915780844	0.4219755897
78	0.7923563196	0.4211395497
79	0.792455721	0.4204959185
80	0.7918349167	0.4194372303
81	0.7926786464	0.4188605137
82	0.7933115264	0.41816438
83	0.7939485765	0.4174756111
84	0.7947146154	0.416929172
85	0.7957315484	0.4161819343
86	0.7957392949	0.4153062635
87	0.7963592149	0.414825443
88	0.7964952918	0.414154633
89	0.7970020078	0.4135045682
90	0.7983240538	0.4128559192
91	0.7995205912	0.4120679005
92	0.8002546625	0.411511447
93	0.801197262	0.4110657545
94	0.8030934281	0.4102020635
95	0.8028154796	0.4095389088
96	0.8045288209	0.4087469985
97	0.8052817258	0.4081369546
98	0.8056901541	0.4074859952
99	0.806604797	0.4065517067
100	0.806664632	0.4058867924
101	0.8075062516	0.4053404312
102	0.8080277111	0.4048502814
103	0.8082717901	0.4040788765
104	0.8083696006	0.4035799551
105	0.8087554042	0.4029953179
106	0.8093747172	0.4022935069
107	0.8096761129	0.4017695011
108	0.8113722996	0.4012696502
109	0.8115469151	0.4006393698
110	0.8122861853	0.3998380923
111	0.8126518762	0.3991707583
112	0.8140183383	0.3986149151
113	0.8145816729	0.3981708562
114	0.8147615657	0.3976041401
115	0.8146358718	0.3968197739
116	0.8166386072	0.3957326483
117	0.8170260085	0.3953694304
118	0.816980093	0.3947547735
119	0.8174503779	0.3943025798
120	0.8182600043	0.3935774457
121	0.8189979697	0.3932045689
122	0.8185589451	0.3923817145
123	0.8200467255	0.39171046
124	0.8208615801	0.3913541194
125	0.8215630852	0.3907401828
126	0.8228193435	0.3899265033
127	0.8243021069	0.3893906416
128	0.8247375322	0.3889134444
129	0.8244371271	0.3885473725
130	0.825224436	0.3880680259
131	0.826065346	0.3874516852
132	0.8264091592	0.3869530332
133	0.8264163883	0.3863404885
134	0.8271914193	0.385939163
135	0.8286386776	0.3853481067
136	0.8286866151	0.3849151372
137	0.8286954035	0.3844739546
138	0.8287042063	0.3839199351
139	0.8290344737	0.3836296633
140	0.8290435231	0.3834079198
141	0.8290634382	0.3829258372
142	0.8308728083	0.3821309055
143	0.8316868322	0.381519455
144	0.8325792408	0.3805933678
145	0.832781484	0.3802448517
146	0.8332096041	0.3798405752
147	0.8339677696	0.3795428198
148	0.8340801408	0.3790982005
149	0.8343284562	0.3783426434
150	0.8349037411	0.3779243356
151	0.8349037411	0.3776564345
152	0.8353718801	0.376723356
153	0.8357056473	0.3764613749
154	0.8363036949	0.3760659201
155	0.8358358345	0.3753820008
156	0.8372314486	0.3746408285
157	0.8376839701	0.3741337275
158	0.8380993816	0.3737123147
159	0.8390836106	0.3733301941
160	0.8390763804	0.3730272084
161	0.8393511059	0.3726942758
162	0.8405669222	0.3722265859
163	0.8409807145	0.3718301389
164	0.8421761373	0.3713949474
165	0.842385591	0.3708313678
166	0.8431677937	0.3705173222
167	0.8433099546	0.3698924332
168	0.84351288	0.3695333842
169	0.8439963963	0.3687732186
170	0.8444185263	0.3684138744
171	0.8449624663	0.3677771056
172	0.8448762836	0.3669897428
173	0.846164186	0.3663926046
174	0.8460750026	0.3662165804
175	0.8460851469	0.3657671035
176	0.8461810693	0.3654471185
177	0.8470128524	0.3649335027
178	0.8471606687	0.3643630983
179	0.8473528223	0.3637851925
180	0.8474486149	0.3633912263
181	0.8475957853	0.362972886
182	0.8478867052	0.3625433946
183	0.8478927869	0.3622507518
184	0.8480576546	0.3614757595
185	0.8479666726	0.3608314401
186	0.8480633307	0.3603010999
187	0.8482550936	0.3597325373
188	0.848938526	0.3593397923
189	0.8490553064	0.3590715758
190	0.8489761701	0.3582990363
191	0.8495670347	0.3580569357
192	0.8500279431	0.3575144826
193	0.8506497483	0.357128868
194	0.8510753138	0.3567649696
195	0.8513882741	0.3563036201
196	0.8511542148	0.3560116494
197	0.8515452289	0.355481249
198	0.8517002929	0.3549875105
199	0.8519936696	0.3544835549
200	0.8522922352	0.3540509516
201	0.8522979196	0.3537168223
202	0.8523593322	0.3534473095
203	0.8528085978	0.3530130145
204	0.8529574747	0.3525862791
205	0.8531155968	0.352110073
206	0.8535041477	0.3516392454
207	0.8532612865	0.3513362697
208	0.8535591744	0.3510574763
209	0.8538706752	0.3506277645
210	0.8542685916	0.3502506828
211	0.8548135795	0.3496474869
212	0.8556857057	0.3492939811
213	0.8561149103	0.3488914588
214	0.8561651662	0.3485479796
215	0.8562029083	0.348177446
216	0.8563298318	0.3475962125
217	0.8574897626	0.3471450244
218	0.8568614473	0.3469452007
219	0.8575014046	0.3463627258
220	0.8575082093	0.3460870302
221	0.8577990655	0.3455818829
222	0.857927324	0.3447877625
223	0.8583705271	0.3443639302
224	0.8589323587	0.3438936038
225	0.8593950136	0.3434035334
226	0.8596002761	0.3428863524
227	0.8601823967	0.3424608499
228	0.8606788671	0.3419098204
229	0.861015252	0.341537455
230	0.861543653	0.3408167231
231	0.8615022348	0.3402591285
232	0.8618063013	0.3400045997
233	0.8619522945	0.3397932451
234	0.8617421655	0.3396021938
235	0.86203643	0.3390958459
236	0.8620937795	0.3388262751
237	0.8626299787	0.3383776125
238	0.8628513685	0.3379288579
239	0.862802695	0.3376545075
240	0.8630254325	0.3372551772
241	0.8633999533	0.3367773069
242	0.8633999533	0.3365235561
243	0.8637125871	0.3361995961
244	0.8635701615	0.3357970177
245	0.8641494897	0.3354595189
246	0.8649314996	0.3348691222
247	0.8649889159	0.3343450726
248	0.8648917482	0.3339889796
249	0.8651813059	0.3336555704
250	0.8656689345	0.3329594461
251	0.8664307369	0.3326363567
252	0.866262405	0.3321995887
253	0.8659453148	0.3317227224
254	0.8669036844	0.3310730848
255	0.8669407551	0.3306833878
256	0.8680748047	0.3300988561
257	0.8685365203	0.3296310826
258	0.8685395023	0.3294342412
259	0.8690452586	0.3290085122
260	0.8690377158	0.328723799
261	0.8694664613	0.3283414669
262	0.8698616739	0.3279786882
263	0.870073694	0.3274112995
264	0.8704276428	0.3269920265
265	0.8710875634	0.3266228188
266	0.8710681125	0.3262624412
267	0.8720036615	0.3258024453
268	0.8723070225	0.3254194019
269	0.8725012694	0.3250650431
270	0.8729511475	0.3248114285
271	0.8730437527	0.3243815058
272	0.8730332903	0.3240394718
273	0.8736002815	0.3238002551
274	0.873467407	0.3234275812
275	0.8738475917	0.3230252564
276	0.8747665319	0.3226359749
277	0.8749449801	0.3222308068
278	0.8748745381	0.3220314909
279	0.8748745381	0.3217286071
280	0.8754356845	0.3212226415
281	0.875646927	0.3209236621
282	0.8759576775	0.3205367671
283	0.8761019873	0.3202557409
284	0.876169346	0.3199679755
285	0.8766431276	0.3196551772
286	0.8766267056	0.3193942278
287	0.8765663811	0.3188230871
288	0.8773072754	0.318171849
289	0.8776484974	0.3176538705
290	0.8783512219	0.3173758754
291	0.8783295438	0.3168466439
292	0.8789505054	0.3164558182
293	0.8785101338	0.3160284174
294	0.8786745167	0.315831002
295	0.878827379	0.3154284157
296	0.8787969744	0.3150355344
297	0.8789703444	0.3148150732
298	0.879683557	0.3142676556
299	0.8793216299	0.3138600195
300	0.8805495785	0.3132185212
301	0.8809406028	0.3129355829
302	0.880986284	0.3127461237
303	0.8807376469	0.3121881158
304	0.8819625289	0.3116563001
305	0.8823097961	0.311241637
306	0.8826490086	0.3106012127
307	0.8824492843	0.3100975074
308	0.883085453	0.30956889
309	0.8828881782	0.3093195315
310	0.8836602841	0.3089593369
311	0.8832280028	0.308581212
312	0.8831587434	0.3081872597
313	0.8835185312	0.3077912557
314	0.8839282166	0.3075368469
315	0.8837490493	0.3072627625
316	0.8845490258	0.3069049225
317	0.8845118382	0.3066991732
318	0.8850388015	0.3062978469
319	0.8847407716	0.3059731625
320	0.8849129311	0.3057398603
321	0.885552611	0.305055017
322	0.8858659398	0.3047061172
323	0.8860759247	0.3043096464
324	0.8860932639	0.3039293749
325	0.8861211434	0.3036288706
326	0.8865681665	0.3032663342
327	0.8868253504	0.3030176184
328	0.8869936396	0.3025063683
329	0.8870732716	0.3021726647
330	0.8873275778	0.3019886535
331	0.8874381773	0.3016912901
332	0.8877795044	0.3015217244
333	0.8876814034	0.3011800976
334	0.8882245346	0.3008379685
335	0.8885629264	0.3006719459
336	0.8886208371	0.3002850333
337	0.8888756953	0.3001422687
338	0.8888801826	0.3000292951
339	0.8889734726	0.2998803752
340	0.888749512	0.2995299988
341	0.8889514661	0.2993124857
342	0.8890550404	0.298890916
343	0.8890675181	0.2986839286
344	0.8889670013	0.298428437
345	0.8894230092	0.2981007965
346	0.8895369928	0.2977627534
347	0.8896237604	0.297414818
348	0.8898882815	0.2971825098
349	0.8900706423	0.2967281465
350	0.8901552242	0.2963181542
351	0.8905211307	0.295920558
